state,2010,2011,2012,2013,2014,2015,2016
utah,2,2,2,2,2,2,2
alaska,3,3,3,3,3,3,3
wyoming,3,2,3,3,3,3,3
newhampshire,2,2,2,2,2,2,2
iowa,1,1,1,1,1,1,1
wisconsin,2,2,2,2,2,2,2
nebraska,2,2,2,2,2,2,2
hawaii,1,1,1,1,1,1,1
idaho,2,2,2,2,2,2,3
northdakota,2,2,2,2,2,2,2
montana,2,2,2,2,2,2,2
maine,2,2,2,2,2,3,3
delaware,1,1,1,1,1,1,1
indiana,2,2,2,2,2,2,2
minnesota,2,2,2,2,2,2,2
washington,2,2,2,2,2,2,2
southdakota,2,2,2,2,2,2,2
maryland,1,1,1,1,1,1,1
vermont,3,3,3,3,3,3,3
kansas,2,2,2,2,2,3,3
nevada,2,2,2,2,2,2,2
oregon,2,2,2,2,2,2,2
michigan,2,2,2,2,2,2,2
westvirginia,2,2,2,2,2,2,3
ohio,2,2,2,2,2,2,2
oklahoma,2,2,2,2,2,2,2
arizona,3,3,3,3,3,3,3
missouri,2,2,2,2,2,2,3
colorado,2,2,2,2,2,2,2
arkansas,2,2,2,3,3,3,3
virginia,2,2,2,2,2,2,2
pennsylvania,2,2,2,2,2,2,2
southcarolina,2,2,2,2,2,2,2
newjersey,1,1,1,1,1,1,1
newmexico,2,2,2,2,2,2,2
northcarolina,2,2,2,2,2,2,2
illinois,0,0,0,2,2,2,2
kentucky,2,2,2,2,2,2,2
rhodeisland,1,1,1,1,1,1,1
georgia,2,2,2,2,2,2,2
mississippi,2,2,2,2,2,2,3
tennessee,2,2,2,2,2,2,2
texas,2,2,2,2,2,2,2
california,1,1,1,1,1,1,1
alabama,2,2,2,2,2,2,2
florida,2,2,2,2,2,2,2
louisiana,2,2,2,2,2,2,2
massachusetts,1,1,1,1,1,1,1
connecticut,2,2,2,2,2,2,2
newyork,1,1,1,1,1,1,1
districtofcolumbia,2,2,2,2,2,2,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
