"","City","Date","Fatal","SubjectArmed","SubjectRace","SubjectGender","SubjectAge","NatureOfStop","NumberOfShots","NumberOfOfficers","OfficerRace","OfficerGender","Department","Month","Day","rank2016","state","estimate2016","census2010","change","sq_mi","sq_km","pop_density1","pop_density2","location","pop_density_size","coast","NewAge","AgeGroup","Seasons","Weekend","MoreThanOneOfficer","ShotsClean","MoreThanOneShot","mainOfficerRace","mainOfficerGender","income"
"1","albuquerque",NA,"N","Y","U","M","U",NA,"1",1,"H","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"h","M",20025
"2","albuquerque",2010-10-06,"F","Y","W","M","U",NA,"1",2,"W;W","M;M","Albuquerque Police Department",10,4,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,0,1,1,0,"w","M",20025
"3","albuquerque",2010-04-03,"N","N","L","U","U",NA,"1",1,"W","M","Albuquerque Police Department",4,7,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,2,1,0,1,0,"w","M",20025
"4","albuquerque",2010-11-11,"N","N","L","F","U",NA,"1",1,"W","M","Albuquerque Police Department",11,5,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,0,0,1,0,"w","M",20025
"5","albuquerque",2014-03-05,"F","Y","B","M","U",NA,"1",1,"W","M","Albuquerque Police Department",3,4,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,2,0,0,1,0,"w","M",20025
"6","albuquerque",NA,"N","N","U","U","U",NA,"1",2,"W;W","M;M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,1,1,0,"w","M",20025
"7","albuquerque",2013-01-12,"F","N","W","M","U",NA,"1",3,"W;W;H","M;M;M","Albuquerque Police Department",1,7,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,1,1,1,0,"w","M",20025
"8","albuquerque",NA,"N","U","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025
"9","albuquerque",NA,"F","Y","W","F","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025
"10","albuquerque",NA,"N","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025
"11","albuquerque",NA,"N","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025
"12","albuquerque",NA,"F","Y","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025
"13","albuquerque",2014-09-01,"N","N","U","U","U",NA,"1",1,"W","M","Albuquerque Police Department",9,2,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,4,0,0,1,0,"w","M",20025
"14","albuquerque",2010-09-01,"F","Y","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department",9,4,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,4,0,0,1,0,"w","M",20025
"15","albuquerque",2015-03-01,"N","Y","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department",3,1,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,2,1,0,1,0,"w","M",20025
