"","City","Date","Fatal","SubjectArmed","SubjectRace","SubjectGender","SubjectAge","NatureOfStop","NumberOfShots","NumberOfOfficers","OfficerRace","OfficerGender","Department","Month","Day","rank2016","state","estimate2016","census2010","change","sq_mi","sq_km","pop_density1","pop_density2","location","pop_density_size","coast","NewAge","AgeGroup","Seasons","Weekend","MoreThanOneOfficer","ShotsClean","MoreThanOneShot","mainOfficerRace","mainOfficerGender","income","Gini","n.M.police","n.F.police","n.U.police","n.W.police","n.B.police","n.A.police","n.L.police","n.O.police"
"1","albuquerque",NA,"N","Y","U","M","U",NA,"1",1,"L","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"h","M",20025,0.464,1,0,0,0,0,0,1,0
"2","albuquerque",2010-10-06,"F","Y","W","M","U",NA,"1",2,"W;W","M;M","Albuquerque Police Department",10,4,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,0,1,1,0,"w","M",20025,0.464,2,0,0,2,0,0,0,0
"3","albuquerque",2010-04-03,"N","N","L","U","U",NA,"1",1,"W","M","Albuquerque Police Department",4,7,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,2,1,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"4","albuquerque",2010-11-11,"N","N","L","F","U",NA,"1",1,"W","M","Albuquerque Police Department",11,5,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"5","albuquerque",2014-03-05,"F","Y","B","M","U",NA,"1",1,"W","M","Albuquerque Police Department",3,4,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,2,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"6","albuquerque",NA,"N","N","U","U","U",NA,"1",2,"W;W","M;M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,1,1,0,"w","M",20025,0.464,2,0,0,2,0,0,0,0
"7","albuquerque",2013-01-12,"F","N","W","M","U",NA,"1",3,"W;W;L","M;M;M","Albuquerque Police Department",1,7,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,1,1,1,0,"w","M",20025,0.464,3,0,0,2,0,0,1,0
"8","albuquerque",NA,"N","U","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"9","albuquerque",NA,"F","Y","W","F","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"10","albuquerque",NA,"N","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"11","albuquerque",NA,"N","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"12","albuquerque",NA,"F","Y","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"13","albuquerque",2014-09-01,"N","N","U","U","U",NA,"1",1,"W","M","Albuquerque Police Department",9,2,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,4,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"14","albuquerque",2010-09-01,"F","Y","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department",9,4,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,4,0,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"15","albuquerque",2015-03-01,"N","Y","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department",3,1,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,2,1,0,1,0,"w","M",20025,0.464,1,0,0,1,0,0,0,0
"16","albuquerque",NA,"N","N","W","M","U",NA,"1",1,"W","F","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"w","F",20025,0.464,0,1,0,1,0,0,0,0
"17","albuquerque",NA,"F","Y","W","M","U",NA,"1",6,"L;L;W;W;W;W","M;F;M;M;M;M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,1,1,0,"w","M",20025,0.464,5,1,0,4,0,0,2,0
"18","albuquerque",2016-11-01,"N","Y","L","M","U",NA,"1",1,"L","M","Albuquerque Police Department",11,3,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,1,0,0,1,0,"h","M",20025,0.464,1,0,0,0,0,0,1,0
"19","albuquerque",NA,"F","Y","B","M","U",NA,"1",1,"L","M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,0,1,0,"h","M",20025,0.464,1,0,0,0,0,0,1,0
"20","albuquerque",NA,"F","Y","L","M","U",NA,"1",2,"W;L","M;M","Albuquerque Police Department",0,0,32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W",2,"neither",0,0,0,0,1,1,0,"h","M",20025,0.464,2,0,0,1,0,0,1,0
