"","n.M.police","n.F.police","n.U.police.gender","n.W.police","n.B.police","n.A.police","n.L.police","n.O.police","id"
"1",1,0,0,0,0,0,1,0,1866394
"2",2,0,0,2,0,0,0,0,1924711
"3",1,0,0,1,0,0,0,0,840208
"4",1,0,0,1,0,0,0,0,3021968
"5",1,0,0,1,0,0,0,0,1398658
"6",2,0,0,2,0,0,0,0,1398402
"7",3,0,0,2,0,0,1,0,2786240
"8",1,0,0,1,0,0,0,0,1146613
"9",1,0,0,1,0,0,0,0,517461
"10",1,0,0,1,0,0,0,0,3846387
"11",1,0,0,1,0,0,0,0,239046
"12",1,0,0,1,0,0,0,0,865090
"13",1,0,0,1,0,0,0,0,1141005
"14",1,0,0,1,0,0,0,0,4037582
"15",1,0,0,1,0,0,0,0,76650
"16",0,1,0,1,0,0,0,0,1524034
"17",5,1,0,4,0,0,2,0,851448
"18",1,0,0,0,0,0,1,0,3955718
"19",1,0,0,0,0,0,1,0,3931374
"20",2,0,0,1,0,0,1,0,288062
"21",1,0,0,1,0,0,0,0,2670171
"22",1,0,0,1,0,0,0,0,4447884
"23",1,0,0,1,0,0,0,0,3832982
"24",1,0,0,1,0,0,0,0,4385459
"25",1,0,0,1,0,0,0,0,466908
"26",2,0,0,2,0,0,0,0,1570143
"27",1,0,0,1,0,0,0,0,4014097
"28",1,0,0,1,0,0,0,0,1292062
"29",1,0,0,1,0,0,0,0,639066
"30",1,0,0,0,0,0,1,0,3518430
"31",1,0,0,1,0,0,0,0,2560075
"32",3,0,0,2,0,0,1,0,4221190
"33",1,0,0,0,0,0,1,0,2096397
"34",1,0,0,1,0,0,0,0,1407333
"35",1,0,0,0,0,0,1,0,1681318
"36",1,0,0,1,0,0,0,0,4339586
"37",2,0,1,0,0,0,1,0,1038153
"38",1,0,0,0,0,0,1,0,2356323
"39",3,0,0,2,0,0,1,0,4148532
"40",9,1,1,4,1,0,4,0,1064982
"41",1,0,0,1,0,0,0,0,1473003
"42",1,0,0,1,0,0,0,0,3154891
"43",1,0,0,1,0,0,0,0,521933
"44",1,0,0,1,0,0,0,0,4966058
"45",2,0,0,1,0,0,1,0,4550714
"46",1,0,0,1,0,0,0,0,4003167
"47",1,0,0,1,0,0,0,0,1638671
"48",0,0,1,0,0,0,0,0,1026876
"49",0,0,1,0,0,0,0,0,1621761
"50",1,0,0,0,1,0,0,0,801544
"51",1,0,0,0,1,0,0,0,898351
"52",2,0,0,0,2,0,0,0,1874604
"53",0,0,1,0,0,0,0,0,1067107
"54",0,0,1,0,0,0,0,0,4769922
"55",0,0,1,0,0,0,0,0,1255321
"56",0,1,0,0,1,0,0,0,1590125
"57",2,0,9,0,2,0,0,0,1506706
"58",3,0,0,0,2,0,1,0,3004324
"59",1,0,0,1,0,0,0,0,3116339
"60",1,0,0,1,0,0,0,0,4238311
"61",1,0,0,1,0,0,0,0,2570474
"62",2,0,0,0,2,0,0,0,4269293
"63",1,0,0,0,1,0,0,0,737639
"64",0,0,1,0,0,0,0,0,2008720
"65",1,0,0,0,1,0,0,0,4657111
"66",3,0,0,2,1,0,0,0,2003305
"67",2,0,0,1,1,0,0,0,3553295
"68",2,0,0,0,2,0,0,0,3833572
"69",0,0,1,0,0,0,0,0,3271722
"70",1,0,0,1,0,0,0,0,4040305
"71",0,0,1,0,0,0,0,0,145943
"72",0,0,1,0,0,0,0,0,559535
"73",0,1,0,0,1,0,0,0,4633265
"74",1,0,0,1,0,0,0,0,1483266
"75",1,0,0,0,1,0,0,0,3338861
"76",0,1,0,1,0,0,0,0,2568461
"77",0,0,1,0,0,0,0,0,462779
"78",1,0,0,1,0,0,0,0,1894657
"79",1,0,0,0,1,0,0,0,2079698
"80",2,1,0,0,3,0,0,0,2367290
"81",1,0,0,1,0,0,0,0,425441
"82",2,0,0,1,1,0,0,0,374689
"83",1,0,0,1,0,0,0,0,1812952
"84",1,0,0,0,1,0,0,0,2335299
"85",2,0,0,1,1,0,0,0,2107693
"86",1,0,0,0,1,0,0,0,2606330
"87",2,0,0,1,1,0,0,0,84281
"88",1,0,0,0,1,0,0,0,1462534
"89",1,0,0,0,1,0,0,0,682779
"90",2,0,0,1,1,0,0,0,2282098
"91",2,0,0,0,2,0,0,0,3630453
"92",0,0,1,0,0,0,0,0,205848
"93",1,0,0,0,1,0,0,0,2673390
"94",0,0,1,0,0,0,0,0,3559646
"95",0,0,1,0,0,0,0,0,42835
"96",0,0,1,0,0,0,0,0,2576245
"97",0,0,1,0,0,0,0,0,4516240
"98",0,0,1,0,0,0,0,0,818588
"99",1,0,0,0,1,0,0,0,3162263
"100",0,0,1,0,0,0,0,0,3931603
"101",1,0,0,1,0,0,0,0,2634180
"102",1,0,0,0,1,0,0,0,768993
"103",1,0,0,0,1,0,0,0,3563646
"104",0,0,1,0,0,0,0,0,4776568
"105",1,0,0,0,1,0,0,0,4666574
"106",0,0,1,0,0,0,0,0,4831344
"107",0,0,1,0,0,0,0,0,4605375
"108",0,0,1,0,0,0,0,0,3399820
"109",1,0,0,0,1,0,0,0,2153881
"110",2,0,0,1,1,0,0,0,1311532
"111",0,0,1,0,0,0,0,0,773731
"112",2,0,0,1,1,0,0,0,3945141
"113",1,0,0,0,1,0,0,0,4758690
"114",0,0,1,0,0,0,0,0,3798724
"115",0,0,1,0,0,0,0,0,3026428
"116",1,0,0,0,1,0,0,0,2922002
"117",1,0,0,1,0,0,0,0,4154649
"118",1,0,0,1,0,0,0,0,3511184
"119",3,0,0,2,0,1,0,0,4110841
"120",1,0,0,0,0,0,1,0,4103610
